iter	Logloss
0	0.6814248028
1	0.6700569337
2	0.6596999782
3	0.6499964787
4	0.6406450013
5	0.6323394137
6	0.6241958341
7	0.6172172807
8	0.6100900393
9	0.6047544896
10	0.5998353081
11	0.594739704
12	0.5902445417
13	0.5860113195
14	0.5822424068
15	0.580095731
16	0.5765756462
17	0.5729778823
18	0.5697299617
19	0.5664763167
20	0.5637739194
21	0.561627597
22	0.5592155124
23	0.5566790675
24	0.5548469376
25	0.5525257284
26	0.5505085552
27	0.5493308412
28	0.5475811513
29	0.5463253177
30	0.5448319625
31	0.5436071023
32	0.542030166
33	0.54068625
34	0.5396639151
35	0.5384877812
36	0.5374689878
37	0.535615834
38	0.5348728497
39	0.534014307
40	0.5332124829
41	0.5325757107
42	0.5317297601
43	0.530330468
44	0.5296238207
45	0.5281004161
46	0.527544218
47	0.5269633763
48	0.5263278674
49	0.5257932658
50	0.525466963
51	0.525108029
52	0.5245950401
53	0.5240631573
54	0.5231658695
55	0.5228196141
56	0.5223697799
57	0.5220291142
58	0.5217822109
59	0.5214420164
60	0.5211988288
61	0.5209406759
62	0.5208191287
63	0.5205212561
64	0.5202753471
65	0.5192377439
66	0.5189344559
67	0.5185914249
68	0.5182955585
69	0.5180421745
70	0.5177917124
71	0.5175144443
72	0.5172617939
73	0.5169306713
74	0.5166345052
75	0.5164336614
76	0.5162098334
77	0.5159512126
78	0.5157759979
79	0.5154857361
80	0.5153254346
81	0.515278465
82	0.515115051
83	0.5141572696
84	0.5139938694
85	0.5138688255
86	0.5137069806
87	0.5135437586
88	0.513422593
89	0.5127849534
90	0.5125980333
91	0.5124775913
92	0.5123410458
93	0.5121830514
94	0.512067928
95	0.5119158736
96	0.511762932
97	0.5116626112
98	0.5114421194
99	0.511244311
100	0.511115797
101	0.510932071
102	0.5107880114
103	0.510608454
104	0.5104038553
105	0.5102731156
106	0.510117275
107	0.5100201438
108	0.5099096297
109	0.5098288526
110	0.5096758631
111	0.509539549
112	0.5094280064
113	0.5092294967
114	0.5091156135
115	0.5090500791
116	0.5089135627
117	0.508755908
118	0.508736241
119	0.5086224374
120	0.508548957
121	0.5084310931
122	0.5083354695
123	0.5081939561
124	0.5080589497
125	0.5079820276
126	0.5078836776
127	0.507802358
128	0.5076883593
129	0.5076281836
130	0.5075339552
131	0.5074509588
132	0.5073206713
133	0.5071635067
134	0.5070383933
135	0.5069263589
136	0.5068409929
137	0.5067654961
138	0.5065354824
139	0.5060729337
140	0.5059610977
141	0.505865109
142	0.5057641443
143	0.5053465967
144	0.505263015
145	0.5051291337
146	0.5050086442
147	0.5049381736
148	0.5048307939
149	0.5047459313
150	0.504648825
151	0.5045582114
152	0.5044850199
153	0.504318073
154	0.5042094041
155	0.5041400859
156	0.5040308499
157	0.503885557
158	0.5037963381
159	0.5037449542
160	0.5036509979
161	0.5035183324
162	0.5034175905
163	0.5032398072
164	0.5031510305
165	0.503067741
166	0.5030244488
167	0.5029090094
168	0.5028151085
169	0.502741125
170	0.5026622685
171	0.502561888
172	0.5024607985
173	0.5023815921
174	0.5022207166
175	0.5021287049
176	0.5020066995
177	0.5019468457
178	0.5018905673
179	0.5018457287
180	0.5017651209
181	0.5016208601
182	0.501525563
183	0.501457484
184	0.5013516144
185	0.5012525505
186	0.5011745648
187	0.5011160624
188	0.5009705377
189	0.5009119463
190	0.5008357344
191	0.5007683198
192	0.500700353
193	0.5005964116
194	0.5005012842
195	0.5004523032
196	0.5004100776
197	0.5003327075
198	0.5002313338
199	0.5001949239
200	0.5001140825
201	0.5000706667
202	0.4999780746
203	0.499864853
204	0.4997892498
205	0.4996977872
206	0.4996056071
207	0.4995188743
208	0.4994298358
209	0.4992980199
210	0.499197234
211	0.4991256834
212	0.4990692241
213	0.498967345
214	0.4989032408
